,temp,CO2,RH,PM25,PplCnt,OccStat,LgtStat,PNO,Ppl,time
0,23.0,1534,50.3,0.2,7,1,2,13983,"[{'ID': 47, 'ImgX': 178, 'ImgY': 212, 'ActLvl': 3}, {'ID': 54, 'ImgX': 288, 'ImgY': 274, 'ActLvl': 15}, {'ID': 55, 'ImgX': 362, 'ImgY': 270, 'ActLvl': 7}, {'ID': 57, 'ImgX': 324, 'ImgY': 84, 'ActLvl': 0}, {'ID': 60, 'ImgX': 178, 'ImgY': 190, 'ActLvl': 3}, {'ID': 61, 'ImgX': 322, 'ImgY': 278, 'ActLvl': 16}, {'ID': 62, 'ImgX': 422, 'ImgY': 274, 'ActLvl': 2}]",2022-7-6-22:18:3
0,23.1,1534,50.2,0.2,6,1,2,13985,"[{'ID': 47, 'ImgX': 178, 'ImgY': 212, 'ActLvl': 0}, {'ID': 54, 'ImgX': 304, 'ImgY': 288, 'ActLvl': 25}, {'ID': 55, 'ImgX': 348, 'ImgY': 278, 'ActLvl': 9}, {'ID': 57, 'ImgX': 324, 'ImgY': 82, 'ActLvl': 0}, {'ID': 60, 'ImgX': 178, 'ImgY': 190, 'ActLvl': 0}, {'ID': 62, 'ImgX': 422, 'ImgY': 274, 'ActLvl': 2}]",2022-7-6-22:18:8
0,23.0,1537,50.3,0.2,6,1,2,13987,"[{'ID': 47, 'ImgX': 170, 'ImgY': 198, 'ActLvl': 14}, {'ID': 54, 'ImgX': 304, 'ImgY': 278, 'ActLvl': 10}, {'ID': 55, 'ImgX': 360, 'ImgY': 266, 'ActLvl': 19}, {'ID': 57, 'ImgX': 326, 'ImgY': 82, 'ActLvl': 2}, {'ID': 60, 'ImgX': 170, 'ImgY': 188, 'ActLvl': 14}, {'ID': 62, 'ImgX': 418, 'ImgY': 272, 'ActLvl': 11}]",2022-7-6-22:18:13
0,23.1,1538,50.3,0.2,6,1,2,13989,"[{'ID': 47, 'ImgX': 170, 'ImgY': 198, 'ActLvl': 3}, {'ID': 54, 'ImgX': 300, 'ImgY': 278, 'ActLvl': 17}, {'ID': 55, 'ImgX': 390, 'ImgY': 274, 'ActLvl': 6}, {'ID': 57, 'ImgX': 308, 'ImgY': 82, 'ActLvl': 24}, {'ID': 60, 'ImgX': 170, 'ImgY': 190, 'ActLvl': 3}, {'ID': 62, 'ImgX': 402, 'ImgY': 252, 'ActLvl': 7}]",2022-7-6-22:18:18
0,23.1,1538,50.2,0.2,7,1,2,13991,"[{'ID': 47, 'ImgX': 168, 'ImgY': 206, 'ActLvl': 12}, {'ID': 54, 'ImgX': 300, 'ImgY': 276, 'ActLvl': 4}, {'ID': 55, 'ImgX': 394, 'ImgY': 272, 'ActLvl': 2}, {'ID': 57, 'ImgX': 308, 'ImgY': 80, 'ActLvl': 8}, {'ID': 62, 'ImgX': 418, 'ImgY': 266, 'ActLvl': 1}, {'ID': 64, 'ImgX': 172, 'ImgY': 228, 'ActLvl': 7}, {'ID': 66, 'ImgX': 360, 'ImgY': 268, 'ActLvl': 3}]",2022-7-6-22:18:23
0,23.1,1540,50.2,0.2,7,1,2,13993,"[{'ID': 47, 'ImgX': 174, 'ImgY': 202, 'ActLvl': 43}, {'ID': 54, 'ImgX': 300, 'ImgY': 276, 'ActLvl': 6}, {'ID': 55, 'ImgX': 402, 'ImgY': 252, 'ActLvl': 8}, {'ID': 57, 'ImgX': 308, 'ImgY': 80, 'ActLvl': 1}, {'ID': 62, 'ImgX': 412, 'ImgY': 274, 'ActLvl': 7}, {'ID': 64, 'ImgX': 162, 'ImgY': 232, 'ActLvl': 33}, {'ID': 66, 'ImgX': 348, 'ImgY': 268, 'ActLvl': 4}]",2022-7-6-22:18:28
0,23.1,1542,50.2,0.2,8,1,2,13994,"[{'ID': 47, 'ImgX': 178, 'ImgY': 206, 'ActLvl': 16}, {'ID': 54, 'ImgX': 300, 'ImgY': 276, 'ActLvl': 7}, {'ID': 55, 'ImgX': 402, 'ImgY': 252, 'ActLvl': 5}, {'ID': 57, 'ImgX': 310, 'ImgY': 82, 'ActLvl': 0}, {'ID': 62, 'ImgX': 412, 'ImgY': 274, 'ActLvl': 5}, {'ID': 64, 'ImgX': 156, 'ImgY': 226, 'ActLvl': 12}, {'ID': 66, 'ImgX': 348, 'ImgY': 268, 'ActLvl': 3}, {'ID': 67, 'ImgX': 164, 'ImgY': 190, 'ActLvl': 13}]",2022-7-6-22:18:33
0,23.1,1539,50.2,0.2,7,1,2,13996,"[{'ID': 47, 'ImgX': 160, 'ImgY': 204, 'ActLvl': 65}, {'ID': 54, 'ImgX': 300, 'ImgY': 276, 'ActLvl': 12}, {'ID': 55, 'ImgX': 400, 'ImgY': 254, 'ActLvl': 10}, {'ID': 57, 'ImgX': 310, 'ImgY': 82, 'ActLvl': 0}, {'ID': 62, 'ImgX': 406, 'ImgY': 278, 'ActLvl': 7}, {'ID': 64, 'ImgX': 164, 'ImgY': 240, 'ActLvl': 44}, {'ID': 66, 'ImgX': 354, 'ImgY': 268, 'ActLvl': 15}]",2022-7-6-22:18:38
0,23.1,1533,50.1,0.2,8,1,2,13998,"[{'ID': 47, 'ImgX': 154, 'ImgY': 230, 'ActLvl': 39}, {'ID': 55, 'ImgX': 392, 'ImgY': 258, 'ActLvl': 34}, {'ID': 57, 'ImgX': 308, 'ImgY': 80, 'ActLvl': 0}, {'ID': 62, 'ImgX': 414, 'ImgY': 282, 'ActLvl': 25}, {'ID': 64, 'ImgX': 158, 'ImgY': 204, 'ActLvl': 45}, {'ID': 66, 'ImgX': 358, 'ImgY': 262, 'ActLvl': 38}, {'ID': 70, 'ImgX': 362, 'ImgY': 290, 'ActLvl': 31}, {'ID': 71, 'ImgX': 288, 'ImgY': 272, 'ActLvl': 26}]",2022-7-6-22:18:43
0,23.1,1537,50.1,0.2,6,1,2,14000,"[{'ID': 47, 'ImgX': 178, 'ImgY': 234, 'ActLvl': 19}, {'ID': 55, 'ImgX': 390, 'ImgY': 266, 'ActLvl': 26}, {'ID': 57, 'ImgX': 310, 'ImgY': 82, 'ActLvl': 0}, {'ID': 64, 'ImgX': 164, 'ImgY': 184, 'ActLvl': 21}, {'ID': 70, 'ImgX': 362, 'ImgY': 278, 'ActLvl': 37}, {'ID': 71, 'ImgX': 312, 'ImgY': 288, 'ActLvl': 21}]",2022-7-6-22:18:48
0,23.1,1529,50.1,0.2,8,1,2,14002,"[{'ID': 47, 'ImgX': 158, 'ImgY': 234, 'ActLvl': 28}, {'ID': 55, 'ImgX': 358, 'ImgY': 284, 'ActLvl': 10}, {'ID': 57, 'ImgX': 308, 'ImgY': 80, 'ActLvl': 0}, {'ID': 64, 'ImgX': 158, 'ImgY': 200, 'ActLvl': 55}, {'ID': 70, 'ImgX': 354, 'ImgY': 270, 'ActLvl': 12}, {'ID': 72, 'ImgX': 164, 'ImgY': 182, 'ActLvl': 40}, {'ID': 73, 'ImgX': 412, 'ImgY': 274, 'ActLvl': 6}, {'ID': 74, 'ImgX': 356, 'ImgY': 304, 'ActLvl': 1}]",2022-7-6-22:18:53
0,23.1,1526,50.1,0.2,7,1,2,14005,"[{'ID': 47, 'ImgX': 158, 'ImgY': 218, 'ActLvl': 48}, {'ID': 55, 'ImgX': 366, 'ImgY': 268, 'ActLvl': 8}, {'ID': 57, 'ImgX': 308, 'ImgY': 80, 'ActLvl': 0}, {'ID': 64, 'ImgX': 158, 'ImgY': 198, 'ActLvl': 58}, {'ID': 66, 'ImgX': 304, 'ImgY': 274, 'ActLvl': 12}, {'ID': 72, 'ImgX': 152, 'ImgY': 172, 'ActLvl': 41}, {'ID': 73, 'ImgX': 396, 'ImgY': 276, 'ActLvl': 5}]",2022-7-6-22:18:58
0,23.1,1521,50.2,0.2,8,1,2,14007,"[{'ID': 47, 'ImgX': 162, 'ImgY': 208, 'ActLvl': 57}, {'ID': 55, 'ImgX': 358, 'ImgY': 280, 'ActLvl': 24}, {'ID': 57, 'ImgX': 308, 'ImgY': 80, 'ActLvl': 0}, {'ID': 64, 'ImgX': 176, 'ImgY': 180, 'ActLvl': 34}, {'ID': 70, 'ImgX': 314, 'ImgY': 266, 'ActLvl': 23}, {'ID': 73, 'ImgX': 392, 'ImgY': 260, 'ActLvl': 18}, {'ID': 75, 'ImgX': 330, 'ImgY': 274, 'ActLvl': 34}, {'ID': 76, 'ImgX': 156, 'ImgY': 244, 'ActLvl': 29}]",2022-7-6-22:19:3
0,23.1,1520,50.1,0.2,8,1,2,14009,"[{'ID': 47, 'ImgX': 160, 'ImgY': 202, 'ActLvl': 13}, {'ID': 55, 'ImgX': 360, 'ImgY': 282, 'ActLvl': 7}, {'ID': 57, 'ImgX': 308, 'ImgY': 80, 'ActLvl': 0}, {'ID': 64, 'ImgX': 180, 'ImgY': 184, 'ActLvl': 10}, {'ID': 70, 'ImgX': 314, 'ImgY': 266, 'ActLvl': 5}, {'ID': 75, 'ImgX': 332, 'ImgY': 276, 'ActLvl': 9}, {'ID': 76, 'ImgX': 154, 'ImgY': 228, 'ActLvl': 6}, {'ID': 77, 'ImgX': 416, 'ImgY': 272, 'ActLvl': 1}]",2022-7-6-22:19:8
0,23.1,1522,50.0,0.2,8,1,2,14011,"[{'ID': 47, 'ImgX': 166, 'ImgY': 202, 'ActLvl': 61}, {'ID': 55, 'ImgX': 356, 'ImgY': 280, 'ActLvl': 6}, {'ID': 57, 'ImgX': 308, 'ImgY': 80, 'ActLvl': 0}, {'ID': 64, 'ImgX': 170, 'ImgY': 180, 'ActLvl': 41}, {'ID': 70, 'ImgX': 314, 'ImgY': 266, 'ActLvl': 4}, {'ID': 75, 'ImgX': 342, 'ImgY': 262, 'ActLvl': 8}, {'ID': 76, 'ImgX': 148, 'ImgY': 230, 'ActLvl': 47}, {'ID': 77, 'ImgX': 416, 'ImgY': 272, 'ActLvl': 3}]",2022-7-6-22:19:13
0,23.0,1524,50.0,0.2,5,1,2,14013,"[{'ID': 47, 'ImgX': 166, 'ImgY': 222, 'ActLvl': 46}, {'ID': 55, 'ImgX': 352, 'ImgY': 272, 'ActLvl': 14}, {'ID': 57, 'ImgX': 306, 'ImgY': 82, 'ActLvl': 2}, {'ID': 76, 'ImgX': 182, 'ImgY': 220, 'ActLvl': 42}, {'ID': 77, 'ImgX': 422, 'ImgY': 270, 'ActLvl': 1}]",2022-7-6-22:19:18
0,23.1,1529,50.1,0.2,5,1,2,14015,"[{'ID': 47, 'ImgX': 158, 'ImgY': 230, 'ActLvl': 13}, {'ID': 55, 'ImgX': 370, 'ImgY': 264, 'ActLvl': 7}, {'ID': 57, 'ImgX': 304, 'ImgY': 80, 'ActLvl': 0}, {'ID': 75, 'ImgX': 338, 'ImgY': 264, 'ActLvl': 9}, {'ID': 79, 'ImgX': 174, 'ImgY': 190, 'ActLvl': 15}]",2022-7-6-22:19:23
0,23.1,1533,50.0,0.2,7,1,2,14017,"[{'ID': 47, 'ImgX': 164, 'ImgY': 210, 'ActLvl': 56}, {'ID': 55, 'ImgX': 352, 'ImgY': 260, 'ActLvl': 5}, {'ID': 57, 'ImgX': 306, 'ImgY': 82, 'ActLvl': 0}, {'ID': 75, 'ImgX': 338, 'ImgY': 266, 'ActLvl': 8}, {'ID': 76, 'ImgX': 188, 'ImgY': 214, 'ActLvl': 36}, {'ID': 79, 'ImgX': 164, 'ImgY': 172, 'ActLvl': 67}, {'ID': 80, 'ImgX': 414, 'ImgY': 270, 'ActLvl': 4}]",2022-7-6-22:19:28
0,23.1,1529,49.9,0.2,6,1,2,14019,"[{'ID': 47, 'ImgX': 172, 'ImgY': 218, 'ActLvl': 52}, {'ID': 55, 'ImgX': 356, 'ImgY': 260, 'ActLvl': 14}, {'ID': 57, 'ImgX': 306, 'ImgY': 82, 'ActLvl': 6}, {'ID': 75, 'ImgX': 308, 'ImgY': 290, 'ActLvl': 20}, {'ID': 76, 'ImgX': 174, 'ImgY': 196, 'ActLvl': 51}, {'ID': 80, 'ImgX': 414, 'ImgY': 270, 'ActLvl': 2}]",2022-7-6-22:19:33
0,23.1,1528,49.9,0.2,7,1,2,14021,"[{'ID': 47, 'ImgX': 170, 'ImgY': 218, 'ActLvl': 24}, {'ID': 55, 'ImgX': 358, 'ImgY': 260, 'ActLvl': 14}, {'ID': 57, 'ImgX': 306, 'ImgY': 82, 'ActLvl': 1}, {'ID': 75, 'ImgX': 306, 'ImgY': 280, 'ActLvl': 9}, {'ID': 76, 'ImgX': 174, 'ImgY': 196, 'ActLvl': 24}, {'ID': 79, 'ImgX': 182, 'ImgY': 110, 'ActLvl': 2}, {'ID': 80, 'ImgX': 414, 'ImgY': 270, 'ActLvl': 4}]",2022-7-6-22:19:38
0,23.1,1530,49.8,0.1,8,1,2,14023,"[{'ID': 47, 'ImgX': 166, 'ImgY': 224, 'ActLvl': 15}, {'ID': 55, 'ImgX': 356, 'ImgY': 286, 'ActLvl': 16}, {'ID': 57, 'ImgX': 306, 'ImgY': 82, 'ActLvl': 4}, {'ID': 75, 'ImgX': 328, 'ImgY': 274, 'ActLvl': 20}, {'ID': 76, 'ImgX': 174, 'ImgY': 196, 'ActLvl': 14}, {'ID': 79, 'ImgX': 170, 'ImgY': 116, 'ActLvl': 12}, {'ID': 80, 'ImgX': 414, 'ImgY': 270, 'ActLvl': 5}, {'ID': 81, 'ImgX': 304, 'ImgY': 284, 'ActLvl': 1}]",2022-7-6-22:19:43
0,23.1,1532,49.7,0.2,7,1,2,14025,"[{'ID': 47, 'ImgX': 166, 'ImgY': 224, 'ActLvl': 4}, {'ID': 55, 'ImgX': 352, 'ImgY': 282, 'ActLvl': 7}, {'ID': 57, 'ImgX': 308, 'ImgY': 84, 'ActLvl': 2}, {'ID': 75, 'ImgX': 312, 'ImgY': 280, 'ActLvl': 12}, {'ID': 76, 'ImgX': 174, 'ImgY': 196, 'ActLvl': 4}, {'ID': 79, 'ImgX': 178, 'ImgY': 118, 'ActLvl': 6}, {'ID': 80, 'ImgX': 414, 'ImgY': 276, 'ActLvl': 7}]",2022-7-6-22:19:48
0,23.1,1533,49.8,0.1,6,1,2,14027,"[{'ID': 47, 'ImgX': 186, 'ImgY': 206, 'ActLvl': 19}, {'ID': 55, 'ImgX': 350, 'ImgY': 288, 'ActLvl': 26}, {'ID': 57, 'ImgX': 310, 'ImgY': 86, 'ActLvl': 0}, {'ID': 76, 'ImgX': 174, 'ImgY': 196, 'ActLvl': 19}, {'ID': 79, 'ImgX': 186, 'ImgY': 106, 'ActLvl': 0}, {'ID': 80, 'ImgX': 414, 'ImgY': 276, 'ActLvl': 5}]",2022-7-6-22:19:53
0,23.1,1533,49.9,0.1,7,1,2,14029,"[{'ID': 47, 'ImgX': 176, 'ImgY': 214, 'ActLvl': 23}, {'ID': 55, 'ImgX': 338, 'ImgY': 280, 'ActLvl': 13}, {'ID': 57, 'ImgX': 310, 'ImgY': 86, 'ActLvl': 0}, {'ID': 75, 'ImgX': 304, 'ImgY': 286, 'ActLvl': 9}, {'ID': 76, 'ImgX': 174, 'ImgY': 196, 'ActLvl': 23}, {'ID': 79, 'ImgX': 186, 'ImgY': 106, 'ActLvl': 2}, {'ID': 80, 'ImgX': 414, 'ImgY': 276, 'ActLvl': 6}]",2022-7-6-22:19:58
0,23.1,1532,49.9,0.1,7,1,2,14030,"[{'ID': 47, 'ImgX': 168, 'ImgY': 212, 'ActLvl': 35}, {'ID': 55, 'ImgX': 356, 'ImgY': 288, 'ActLvl': 10}, {'ID': 57, 'ImgX': 310, 'ImgY': 86, 'ActLvl': 4}, {'ID': 75, 'ImgX': 304, 'ImgY': 286, 'ActLvl': 4}, {'ID': 76, 'ImgX': 174, 'ImgY': 196, 'ActLvl': 34}, {'ID': 79, 'ImgX': 186, 'ImgY': 110, 'ActLvl': 7}, {'ID': 80, 'ImgX': 414, 'ImgY': 276, 'ActLvl': 7}]",2022-7-6-22:20:3
0,23.0,1528,50.0,0.1,7,1,2,14032,"[{'ID': 47, 'ImgX': 174, 'ImgY': 214, 'ActLvl': 28}, {'ID': 55, 'ImgX': 328, 'ImgY': 284, 'ActLvl': 15}, {'ID': 57, 'ImgX': 310, 'ImgY': 86, 'ActLvl': 0}, {'ID': 75, 'ImgX': 308, 'ImgY': 286, 'ActLvl': 15}, {'ID': 76, 'ImgX': 174, 'ImgY': 196, 'ActLvl': 27}, {'ID': 79, 'ImgX': 162, 'ImgY': 114, 'ActLvl': 1}, {'ID': 80, 'ImgX': 416, 'ImgY': 274, 'ActLvl': 4}]",2022-7-6-22:20:8
0,23.0,1535,50.0,0.1,7,1,2,14034,"[{'ID': 47, 'ImgX': 180, 'ImgY': 210, 'ActLvl': 25}, {'ID': 55, 'ImgX': 340, 'ImgY': 286, 'ActLvl': 31}, {'ID': 57, 'ImgX': 310, 'ImgY': 86, 'ActLvl': 0}, {'ID': 75, 'ImgX': 300, 'ImgY': 288, 'ActLvl': 20}, {'ID': 76, 'ImgX': 174, 'ImgY': 196, 'ActLvl': 25}, {'ID': 79, 'ImgX': 164, 'ImgY': 112, 'ActLvl': 2}, {'ID': 80, 'ImgX': 414, 'ImgY': 274, 'ActLvl': 4}]",2022-7-6-22:20:13
0,23.0,1531,49.9,0.2,7,1,2,14036,"[{'ID': 47, 'ImgX': 180, 'ImgY': 210, 'ActLvl': 22}, {'ID': 55, 'ImgX': 356, 'ImgY': 274, 'ActLvl': 5}, {'ID': 57, 'ImgX': 310, 'ImgY': 86, 'ActLvl': 3}, {'ID': 75, 'ImgX': 306, 'ImgY': 284, 'ActLvl': 24}, {'ID': 76, 'ImgX': 174, 'ImgY': 196, 'ActLvl': 22}, {'ID': 79, 'ImgX': 168, 'ImgY': 116, 'ActLvl': 11}, {'ID': 80, 'ImgX': 414, 'ImgY': 274, 'ActLvl': 7}]",2022-7-6-22:20:18
0,23.0,1531,49.9,0.2,7,1,2,14038,"[{'ID': 47, 'ImgX': 176, 'ImgY': 210, 'ActLvl': 10}, {'ID': 55, 'ImgX': 338, 'ImgY': 272, 'ActLvl': 18}, {'ID': 57, 'ImgX': 310, 'ImgY': 86, 'ActLvl': 1}, {'ID': 76, 'ImgX': 174, 'ImgY': 196, 'ActLvl': 10}, {'ID': 79, 'ImgX': 178, 'ImgY': 108, 'ActLvl': 13}, {'ID': 80, 'ImgX': 412, 'ImgY': 274, 'ActLvl': 7}, {'ID': 82, 'ImgX': 360, 'ImgY': 288, 'ActLvl': 8}]",2022-7-6-22:20:23
0,23.0,1539,49.9,0.2,7,1,2,14040,"[{'ID': 47, 'ImgX': 174, 'ImgY': 210, 'ActLvl': 1}, {'ID': 57, 'ImgX': 310, 'ImgY': 86, 'ActLvl': 0}, {'ID': 76, 'ImgX': 174, 'ImgY': 196, 'ActLvl': 1}, {'ID': 79, 'ImgX': 168, 'ImgY': 112, 'ActLvl': 9}, {'ID': 80, 'ImgX': 416, 'ImgY': 272, 'ActLvl': 9}, {'ID': 82, 'ImgX': 352, 'ImgY': 278, 'ActLvl': 16}, {'ID': 84, 'ImgX': 304, 'ImgY': 280, 'ActLvl': 8}]",2022-7-6-22:20:28
0,23.0,1539,49.9,0.2,8,1,2,14042,"[{'ID': 47, 'ImgX': 176, 'ImgY': 210, 'ActLvl': 12}, {'ID': 55, 'ImgX': 330, 'ImgY': 258, 'ActLvl': 10}, {'ID': 57, 'ImgX': 310, 'ImgY': 86, 'ActLvl': 0}, {'ID': 76, 'ImgX': 174, 'ImgY': 196, 'ActLvl': 12}, {'ID': 79, 'ImgX': 170, 'ImgY': 112, 'ActLvl': 5}, {'ID': 80, 'ImgX': 392, 'ImgY': 268, 'ActLvl': 9}, {'ID': 84, 'ImgX': 310, 'ImgY': 288, 'ActLvl': 5}, {'ID': 85, 'ImgX': 370, 'ImgY': 268, 'ActLvl': 6}]",2022-7-6-22:20:33
0,23.0,1540,49.9,0.2,8,1,2,14043,"[{'ID': 47, 'ImgX': 176, 'ImgY': 210, 'ActLvl': 2}, {'ID': 55, 'ImgX': 330, 'ImgY': 258, 'ActLvl': 13}, {'ID': 57, 'ImgX': 310, 'ImgY': 86, 'ActLvl': 0}, {'ID': 76, 'ImgX': 174, 'ImgY': 196, 'ActLvl': 2}, {'ID': 79, 'ImgX': 170, 'ImgY': 114, 'ActLvl': 4}, {'ID': 80, 'ImgX': 408, 'ImgY': 270, 'ActLvl': 3}, {'ID': 84, 'ImgX': 304, 'ImgY': 280, 'ActLvl': 9}, {'ID': 85, 'ImgX': 368, 'ImgY': 264, 'ActLvl': 6}]",2022-7-6-22:20:38
0,23.0,1546,49.8,0.2,7,1,2,14049,"[{'ID': 47, 'ImgX': 186, 'ImgY': 212, 'ActLvl': 1}, {'ID': 57, 'ImgX': 310, 'ImgY': 86, 'ActLvl': 0}, {'ID': 76, 'ImgX': 172, 'ImgY': 198, 'ActLvl': 0}, {'ID': 79, 'ImgX': 164, 'ImgY': 110, 'ActLvl': 7}, {'ID': 80, 'ImgX': 412, 'ImgY': 276, 'ActLvl': 15}, {'ID': 84, 'ImgX': 318, 'ImgY': 272, 'ActLvl': 6}, {'ID': 85, 'ImgX': 364, 'ImgY': 268, 'ActLvl': 10}]",2022-7-6-22:20:43
